id,name,full_send,degen,cipher,doubter,altruist
0,Rhapsody Z,90,5,2,1,2
1,Rhapsody B,51,4,42,1,2
2,AACK PAACK 1 ,1,96,1,1,1
3,AACK PAACK 2,1,96,1,1,1
4,AACK PAACK 3,1,96,1,1,1
5,AACK PAACK 4,1,96,1,1,1
6,Rhapsody M,20,20,20,20,20
7,Rhapsody W,30,64,2,1,3
8,Rhapsody Medic,2,1,2,5,90
9,NeonByte Vortex,37,5,9,42,7
10,Alpha Protocol,2,1,31,2,64
11,Zeta Flux Surge,3,25,9,3,60
12,Harmonix Core,60,12,2,17,9
13,Echo Pulse GT40,24,10,21,40,5
14,Cerulean Sentinel,19,11,19,29,22
15,Quantum Shadow Drift,14,17,16,5,48
16,Omega Matrix,3,35,8,38,16
17,Riftwalker Spark,2,10,82,2,4
18,Zenith Guardian,2,4,70,5,19
19,Sonic Mirage,1,54,3,4,38
20,Prime Integrator,10,4,16,37,33
21,Eclipse Phantom,53,31,5,9,2
22,Ethereal Keeper,13,7,24,35,21
23,Cyber Wraith,2,1,85,6,6
24,Polaris Beacon,4,17,6,71,2
25,1 Love,7,6,1,11,75
26,Lunar Archivist,1,13,34,2,50
27,Arcane Nexus Storm,80,3,2,8,7
28,Terra Firma,7,11,46,20,16
29,Void Stalker,1,86,2,8,3
30,Nebula Oracle,13,29,55,1,2
31,Blaze Vortex,26,40,17,14,3
32,Chronos Keeper,1,1,2,70,26
33,Phantom Edge,1,76,16,3,4
34,Galactic Warden,2,87,1,9,1
35,Vortex Reaver,7,3,3,59,28
36,Atlas Harmonizer,65,13,6,14,2
37,Nebular Drift,1,22,45,20,12
38,Quantum Sentinel,36,13,7,5,39
39,Rogue Nexus,5,2,2,1,90
40,Pulse Guardian,28,2,11,52,7
41,Astral Phantom,15,3,66,9,7
42,Solar Matrix,48,11,8,6,27
43,Mythic Shadow,2,55,8,15,20
44,Harmony Core,67,2,19,3,9
45,Geckotron,16,19,35,14,16
46,Celestial Sentinel,23,22,14,5,36
47,Anubus Prime,2,4,60,4,30
48,Eclipse Archivist,9,55,27,2,7
49,Saber Torrent,1,9,24,44,22
50,Nova Integrator,25,2,49,22,2
51,Iris Flux,4,34,51,10,1
52,Zenith Warden,23,4,6,60,7
53,Vexatron,18,1,67,5,9
54,Air 23,31,1,64,2,2
55,Inferno Spark,17,66,2,1,14
56,Cosmos Guardian,2,95,1,1,1
57,Rift Shadow,95,1,1,1,2
58,Stellar Oracle,10,2,65,2,21
59,Frost Phantom,1,14,23,1,61
60,Timekeeper Nexus,70,19,3,5,3
61,Mirage Blade,1,30,61,4,4
62,Quantum harmonizer,3,33,60,2,2
63,Storm Weaver,37,4,42,11,6
64,Galaxy Protector,25,1,3,69,2
65,Rebel Flux,8,30,59,2,1
66,Arcane Warden,23,12,13,9,43
67,Nightshade Surge,52,11,3,18,16
68,Ethereal Sentinel,63,4,5,26,2
69,Vortex Phantom,5,3,2,89,1
70,Nova Keeper,1,1,95,1,2
71,Shadow Drifter,21,16,10,4,49
72,Chrono Guardian,7,10,9,3,71
73,Lunar Mirage,23,2,5,64,6
74,Pulse Matrix,2,34,3,5,56
75,Cosmic Shadow,1,3,2,90,4
76,Stellar Integrator,39,5,22,29,5
77,Tusker Sentinel,30,10,20,15,25
78,Rhapsody 9mm,90,3,3,1,3
79,Rhapsody HOA,3,90,3,1,3
80,Rhapsody PLS,3,3,3,1,90
81,Rhapsody PLSX,3,3,90,1,3
82,Rhapsody HEX,55,5,5,2,33
83,Rhapsody eHEX,3,1,3,90,3
84,Robo Rhapsody Mascot,1,96,1,1,1
